Id,Category
0_1,1
0_2,3
0_3,8
0_4,10
0_5,2
0_6,5
0_7,6
0_8,4
1_1,12
1_2,1
1_3,3
1_4,6
1_5,8
1_6,4
1_7,5
1_8,2
2_1,5
2_2,4
2_3,1
2_4,2
3_1,12
3_2,1
3_3,3
3_4,6
3_5,8
3_6,5
3_7,2
3_8,4
4_1,1
4_2,9
4_3,1
4_4,2
5_1,11
5_2,2
5_3,5
5_4,3
6_1,7
6_2,11
6_3,2
6_4,3
7_1,11
7_2,2
7_3,5
7_4,3
8_1,4
8_2,12
8_3,6
8_4,4
8_5,2
8_6,3
9_1,1
9_2,3
9_3,6
9_4,8
9_5,10
9_6,4
9_7,2
9_8,5
10_1,11
10_2,2
10_3,6
10_4,5
11_1,3
11_2,8
11_3,10
11_4,5
11_5,4
11_6,1
12_1,11
12_2,2
12_3,4
12_4,5
13_1,12
13_2,1
13_3,5
13_4,6
13_5,8
13_6,4
13_7,5
13_8,2
14_1,2
14_2,3
14_3,6
14_4,1
14_5,5
14_6,4
15_1,9
15_2,7
15_3,4
15_4,5
16_1,10
16_2,2
17_1,7
17_2,11
17_3,2
17_4,6
18_1,2
18_2,12
18_3,1
18_4,3
18_5,6
18_6,8
18_7,5
18_8,4
19_1,2
19_2,3
19_3,6
19_4,4
19_5,5
19_6,1
20_1,10
20_2,4
21_1,7
21_2,11
21_3,3
21_4,4
22_1,9
22_2,7
22_3,11
22_4,5
22_5,2
22_6,1
23_1,2
23_2,3
23_3,6
23_4,1
23_5,4
23_6,5
24_1,2
24_2,3
24_3,6
24_4,1
24_5,4
24_6,5
25_1,5
25_2,1
25_3,6
25_4,8
25_5,3
25_6,5
25_7,2
25_8,4
26_1,10
26_2,5
26_3,6
26_4,2
27_1,4
27_2,11
27_3,2
27_4,12
27_5,1
27_6,3
27_7,6
27_8,5
28_1,2
28_2,1
28_3,3
28_4,6
28_5,1
28_6,4
28_7,5
29_1,2
29_2,12
29_3,1
29_4,3
29_5,6
29_6,5
29_7,4
30_1,4
30_2,11
30_3,2
30_4,12
30_5,1
30_6,3
30_7,6
30_8,5
31_1,4
31_2,11
31_3,1
31_4,3
31_5,6
31_6,2
31_7,5
32_1,9
32_2,7
32_3,5
32_4,1
33_1,4
33_2,12
33_3,6
33_4,5
33_5,4
33_6,3
34_1,4
34_2,11
34_3,1
34_4,3
34_5,6
34_6,2
34_7,5
35_1,8
35_2,10
35_3,5
35_4,3
36_1,8
36_2,10
36_3,1
36_4,3
37_1,4
37_2,7
37_3,11
37_4,12
37_5,4
37_6,5
37_7,3
37_8,2
38_1,2
38_2,1
38_3,3
38_4,6
38_5,1
38_6,4
39_1,6
39_2,8
39_3,10
39_4,1
39_5,5
39_6,10
40_1,9
40_2,2
41_1,8
41_2,10
41_3,3
41_4,4
42_1,4
42_2,7
42_3,11
42_4,12
42_5,1
42_6,6
42_7,5
42_8,3
42_9,2
43_1,5
43_2,3
44_1,8
44_2,10
44_3,3
44_4,1
45_1,6
45_2,8
45_3,2
45_4,4
46_1,6
46_2,8
46_3,5
46_4,8
47_1,6
47_2,8
47_3,2
47_4,3
48_1,3
48_2,1
49_1,6
49_2,8
49_3,2
49_4,5
50_1,4
50_2,7
50_3,11
50_4,1
50_5,3
50_6,5
50_7,6
50_8,2
51_1,3
51_2,6
51_3,1
51_4,4
52_1,2
52_2,8
52_3,2
52_4,3
53_1,10
53_2,5
53_3,4
53_4,6
54_1,10
54_2,5
54_3,4
54_4,1
55_1,5
55_2,6
56_1,6
56_2,8
56_3,1
56_4,3
57_1,6
57_2,8
57_3,4
57_4,2
58_1,3
58_2,6
58_3,8
58_4,2
58_5,1
58_6,5
59_1,1
59_2,3
59_3,4
59_4,5
60_1,8
60_2,4
60_3,9
60_4,11
60_5,2
60_6,6
60_7,1
60_8,3
60_9,5
61_1,8
61_2,10
61_3,5
61_4,4
61_5,2
61_6,6
62_1,9
62_2,7
62_3,12
62_4,4
62_5,6
62_6,4
63_1,8
63_2,4
63_3,9
63_4,11
63_5,2
63_6,1
63_7,3
63_8,6
63_9,5
64_1,8
64_2,4
64_3,9
64_4,11
64_5,6
64_6,3
64_7,2
64_8,1
65_1,1
65_2,3
65_3,2
65_4,4
66_1,4
66_2,9
66_3,7
66_4,6
66_5,2
66_6,12
66_7,5
66_8,3
66_9,4
66_10,6
66_11,1
67_1,10
67_2,5
67_3,1
67_4,6
68_1,8
68_2,4
68_3,9
68_4,11
68_5,2
68_6,1
68_7,3
68_8,5
68_9,6
69_1,8
69_2,4
69_3,11
69_4,1
69_5,3
69_6,2
70_1,3
70_2,6
71_1,1
71_2,3
71_3,2
71_4,6
72_1,12
72_2,1
72_3,3
72_4,12
72_5,6
72_6,5
73_1,12
73_2,1
73_3,5
73_4,3
74_1,4
74_2,5
74_3,4
74_4,7
74_5,3
74_6,2
74_7,1
74_8,6
75_1,6
75_2,2
76_1,8
76_2,5
76_3,4
76_4,7
76_5,11
76_6,1
76_7,6
76_8,2
76_9,3
77_1,8
77_2,5
77_3,4
77_4,7
77_5,11
77_6,2
77_7,3
77_8,1
77_9,6
78_1,12
78_2,1
78_3,6
78_4,4
79_1,8
79_2,2
80_1,8
80_2,3
81_1,4
81_2,10
81_3,5
81_4,4
81_5,9
81_6,7
81_7,11
81_8,2
81_9,10
81_10,3
81_11,6
82_1,3
82_2,6
82_3,8
82_4,1
82_5,2
82_6,5
83_1,5
83_2,4
83_3,7
83_4,11
83_5,1
83_6,3
83_7,2
83_8,6
84_1,8
84_2,5
84_3,4
84_4,7
84_5,11
84_6,3
84_7,2
84_8,6
84_9,1
85_1,1
85_2,4
86_1,8
86_2,3
87_1,8
87_2,10
87_3,5
87_4,4
87_5,9
87_6,7
87_7,11
87_8,1
87_9,3
87_10,6
87_11,2
88_1,8
88_2,5
89_1,10
89_2,9
89_3,2
89_4,4
90_1,10
90_2,5
90_3,9
90_4,7
90_5,2
90_6,5
90_7,3
90_8,6
91_1,3
91_2,6
91_3,8
91_4,4
