Id,Category
0_1,1
0_2,1
0_3,1
0_4,1
0_5,1
0_6,1
0_7,0
0_8,1
0_9,0
0_10,1
0_11,0
0_12,0
1_1,1
1_2,1
1_3,0
1_4,0
1_5,0
1_6,0
1_7,0
1_8,0
1_9,0
1_10,0
1_11,1
1_12,0
2_1,1
2_2,1
2_3,1
2_4,1
2_5,1
2_6,1
2_7,0
2_8,1
2_9,0
2_10,1
2_11,0
2_12,0
3_1,0
3_2,1
3_3,0
3_4,0
3_5,1
3_6,0
3_7,0
3_8,0
3_9,0
3_10,0
3_11,0
3_12,0
4_1,1
4_2,1
4_3,0
4_4,1
4_5,0
4_6,1
4_7,1
4_8,1
4_9,0
4_10,0
4_11,0
4_12,1
5_1,0
5_2,1
5_3,0
5_4,1
5_5,1
5_6,0
5_7,0
5_8,0
5_9,0
5_10,0
5_11,1
5_12,0
6_1,1
6_2,0
6_3,1
6_4,1
6_5,1
6_6,0
6_7,0
6_8,0
6_9,0
6_10,0
6_11,0
6_12,0
7_1,0
7_2,1
7_3,0
7_4,0
7_5,1
7_6,0
7_7,1
7_8,0
7_9,0
7_10,0
7_11,1
7_12,0
8_1,0
8_2,0
8_3,0
8_4,0
8_5,1
8_6,1
8_7,1
8_8,0
8_9,0
8_10,0
8_11,1
8_12,0
9_1,1
9_2,1
9_3,1
9_4,0
9_5,1
9_6,1
9_7,0
9_8,1
9_9,0
9_10,0
9_11,0
9_12,1
10_1,1
10_2,1
10_3,1
10_4,0
10_5,1
10_6,1
10_7,0
10_8,1
10_9,0
10_10,0
10_11,0
10_12,0
11_1,0
11_2,0
11_3,1
11_4,0
11_5,0
11_6,0
11_7,0
11_8,0
11_9,0
11_10,1
11_11,0
11_12,0
12_1,0
12_2,1
12_3,0
12_4,1
12_5,1
12_6,0
12_7,0
12_8,0
12_9,0
12_10,1
12_11,0
12_12,0
13_1,1
13_2,0
13_3,1
13_4,0
13_5,0
13_6,0
13_7,1
13_8,0
13_9,0
13_10,0
13_11,1
13_12,0
14_1,1
14_2,1
14_3,1
14_4,1
14_5,1
14_6,1
14_7,0
14_8,0
14_9,0
14_10,0
14_11,0
14_12,0
15_1,1
15_2,1
15_3,1
15_4,0
15_5,1
15_6,1
15_7,0
15_8,1
15_9,0
15_10,0
15_11,0
15_12,1
16_1,0
16_2,1
16_3,1
16_4,1
16_5,1
16_6,1
16_7,0
16_8,1
16_9,0
16_10,0
16_11,0
16_12,1
17_1,0
17_2,0
17_3,1
17_4,1
17_5,1
17_6,1
17_7,0
17_8,0
17_9,0
17_10,0
17_11,0
17_12,0
18_1,0
18_2,1
18_3,0
18_4,1
18_5,0
18_6,0
18_7,0
18_8,1
18_9,0
18_10,1
18_11,0
18_12,0
19_1,0
19_2,1
19_3,0
19_4,0
19_5,0
19_6,0
19_7,0
19_8,0
19_9,1
19_10,0
19_11,0
19_12,0
20_1,1
20_2,0
20_3,0
20_4,0
20_5,0
20_6,0
20_7,0
20_8,0
20_9,1
20_10,0
20_11,0
20_12,0
21_1,0
21_2,0
21_3,1
21_4,0
21_5,1
21_6,1
21_7,0
21_8,0
21_9,0
21_10,1
21_11,0
21_12,0
22_1,1
22_2,1
22_3,1
22_4,1
22_5,0
22_6,1
22_7,0
22_8,0
22_9,0
22_10,0
22_11,0
22_12,1
23_1,1
23_2,0
23_3,1
23_4,0
23_5,0
23_6,1
23_7,0
23_8,0
23_9,0
23_10,0
23_11,0
23_12,1
24_1,1
24_2,1
24_3,0
24_4,0
24_5,1
24_6,0
24_7,0
24_8,0
24_9,0
24_10,1
24_11,0
24_12,0
25_1,1
25_2,0
25_3,0
25_4,0
25_5,1
25_6,1
25_7,0
25_8,0
25_9,0
25_10,1
25_11,0
25_12,0
26_1,0
26_2,0
26_3,0
26_4,0
26_5,0
26_6,0
26_7,0
26_8,0
26_9,0
26_10,0
26_11,0
26_12,0
27_1,1
27_2,1
27_3,1
27_4,0
27_5,1
27_6,1
27_7,0
27_8,0
27_9,0
27_10,0
27_11,0
27_12,0
28_1,1
28_2,1
28_3,1
28_4,1
28_5,1
28_6,0
28_7,0
28_8,0
28_9,0
28_10,0
28_11,0
28_12,0
29_1,1
29_2,1
29_3,0
29_4,0
29_5,1
29_6,1
29_7,0
29_8,1
29_9,0
29_10,1
29_11,0
29_12,0
30_1,0
30_2,0
30_3,0
30_4,1
30_5,0
30_6,0
30_7,0
30_8,0
30_9,1
30_10,0
30_11,0
30_12,0
31_1,0
31_2,0
31_3,0
31_4,0
31_5,1
31_6,1
31_7,0
31_8,1
31_9,0
31_10,1
31_11,0
31_12,0
32_1,1
32_2,0
32_3,1
32_4,0
32_5,0
32_6,1
32_7,1
32_8,0
32_9,0
32_10,0
32_11,1
32_12,1
33_1,0
33_2,1
33_3,0
33_4,0
33_5,1
33_6,1
33_7,0
33_8,1
33_9,0
33_10,0
33_11,0
33_12,0
34_1,0
34_2,0
34_3,1
34_4,0
34_5,1
34_6,0
34_7,0
34_8,0
34_9,0
34_10,0
34_11,0
34_12,0
35_1,1
35_2,1
35_3,1
35_4,0
35_5,1
35_6,1
35_7,0
35_8,0
35_9,0
35_10,0
35_11,1
35_12,1
36_1,0
36_2,1
36_3,1
36_4,1
36_5,0
36_6,1
36_7,0
36_8,0
36_9,1
36_10,0
36_11,0
36_12,1
37_1,1
37_2,1
37_3,1
37_4,1
37_5,1
37_6,1
37_7,1
37_8,0
37_9,0
37_10,0
37_11,1
37_12,1
38_1,1
38_2,0
38_3,1
38_4,0
38_5,0
38_6,1
38_7,0
38_8,1
38_9,0
38_10,0
38_11,0
38_12,0
39_1,1
39_2,0
39_3,1
39_4,0
39_5,0
39_6,1
39_7,0
39_8,1
39_9,0
39_10,0
39_11,0
39_12,0
40_1,1
40_2,1
40_3,1
40_4,1
40_5,1
40_6,1
40_7,1
40_8,0
40_9,0
40_10,0
40_11,1
40_12,1
41_1,1
41_2,0
41_3,1
41_4,0
41_5,1
41_6,0
41_7,0
41_8,0
41_9,0
41_10,1
41_11,0
41_12,0
42_1,1
42_2,0
42_3,1
42_4,1
42_5,1
42_6,1
42_7,1
42_8,0
42_9,0
42_10,0
42_11,1
42_12,1
43_1,0
43_2,0
43_3,0
43_4,0
43_5,1
43_6,0
43_7,0
43_8,1
43_9,0
43_10,0
43_11,0
43_12,0
44_1,1
44_2,1
44_3,1
44_4,0
44_5,1
44_6,1
44_7,1
44_8,0
44_9,1
44_10,0
44_11,0
44_12,1
45_1,1
45_2,1
45_3,1
45_4,1
45_5,1
45_6,1
45_7,0
45_8,1
45_9,1
45_10,0
45_11,1
45_12,0
46_1,1
46_2,1
46_3,1
46_4,1
46_5,1
46_6,0
46_7,1
46_8,0
46_9,1
46_10,0
46_11,0
46_12,1
47_1,0
47_2,1
47_3,0
47_4,0
47_5,0
47_6,0
47_7,0
47_8,1
47_9,0
47_10,0
47_11,0
47_12,0
48_1,1
48_2,1
48_3,1
48_4,1
48_5,1
48_6,1
48_7,1
48_8,1
48_9,1
48_10,0
48_11,0
48_12,1
49_1,0
49_2,0
49_3,0
49_4,1
49_5,1
49_6,0
49_7,0
49_8,0
49_9,0
49_10,1
49_11,0
49_12,0
50_1,1
50_2,1
50_3,1
50_4,1
50_5,1
50_6,1
50_7,0
50_8,1
50_9,1
50_10,0
50_11,1
50_12,0
51_1,1
51_2,1
51_3,1
51_4,1
51_5,1
51_6,1
51_7,0
51_8,1
51_9,0
51_10,0
51_11,1
51_12,0
52_1,1
52_2,1
52_3,1
52_4,1
52_5,1
52_6,1
52_7,0
52_8,0
52_9,0
52_10,0
52_11,0
52_12,0
53_1,1
53_2,1
53_3,1
53_4,1
53_5,1
53_6,1
53_7,0
53_8,1
53_9,1
53_10,0
53_11,1
53_12,0
54_1,1
54_2,1
54_3,1
54_4,1
54_5,1
54_6,1
54_7,0
54_8,1
54_9,0
54_10,0
54_11,1
54_12,0
55_1,1
55_2,1
55_3,1
55_4,1
55_5,1
55_6,1
55_7,1
55_8,1
55_9,0
55_10,0
55_11,1
55_12,0
56_1,0
56_2,0
56_3,0
56_4,1
56_5,1
56_6,1
56_7,1
56_8,0
56_9,0
56_10,0
56_11,0
56_12,0
57_1,1
57_2,1
57_3,1
57_4,1
57_5,1
57_6,1
57_7,0
57_8,1
57_9,1
57_10,0
57_11,1
57_12,0
58_1,1
58_2,0
58_3,0
58_4,1
58_5,0
58_6,0
58_7,0
58_8,1
58_9,0
58_10,1
58_11,0
58_12,0
59_1,1
59_2,0
59_3,0
59_4,1
59_5,0
59_6,1
59_7,0
59_8,1
59_9,0
59_10,0
59_11,0
59_12,0
60_1,1
60_2,1
60_3,1
60_4,1
60_5,1
60_6,1
60_7,1
60_8,1
60_9,0
60_10,0
60_11,1
60_12,0
61_1,1
61_2,1
61_3,1
61_4,1
61_5,1
61_6,1
61_7,1
61_8,1
61_9,0
61_10,0
61_11,1
61_12,0
62_1,1
62_2,1
62_3,1
62_4,0
62_5,1
62_6,0
62_7,0
62_8,0
62_9,0
62_10,0
62_11,0
62_12,0
63_1,1
63_2,1
63_3,1
63_4,1
63_5,0
63_6,0
63_7,0
63_8,0
63_9,0
63_10,0
63_11,0
63_12,0
64_1,0
64_2,0
64_3,1
64_4,0
64_5,1
64_6,0
64_7,0
64_8,1
64_9,0
64_10,1
64_11,0
64_12,0
65_1,0
65_2,0
65_3,0
65_4,1
65_5,1
65_6,1
65_7,0
65_8,1
65_9,0
65_10,0
65_11,0
65_12,0
66_1,1
66_2,1
66_3,1
66_4,1
66_5,1
66_6,1
66_7,1
66_8,1
66_9,0
66_10,0
66_11,1
66_12,0
67_1,0
67_2,0
67_3,1
67_4,1
67_5,1
67_6,1
67_7,0
67_8,0
67_9,0
67_10,0
67_11,0
67_12,0
68_1,0
68_2,1
68_3,0
68_4,0
68_5,0
68_6,0
68_7,0
68_8,1
68_9,0
68_10,0
68_11,0
68_12,0
69_1,1
69_2,0
69_3,0
69_4,0
69_5,1
69_6,0
69_7,0
69_8,0
69_9,0
69_10,0
69_11,0
69_12,0
70_1,1
70_2,0
70_3,0
70_4,1
70_5,0
70_6,1
70_7,0
70_8,1
70_9,0
70_10,0
70_11,0
70_12,0
71_1,1
71_2,1
71_3,1
71_4,1
71_5,1
71_6,1
71_7,1
71_8,1
71_9,0
71_10,0
71_11,1
71_12,0
72_1,0
72_2,0
72_3,1
72_4,0
72_5,0
72_6,0
72_7,0
72_8,1
72_9,0
72_10,0
72_11,0
72_12,0
73_1,1
73_2,1
73_3,0
73_4,0
73_5,1
73_6,0
73_7,0
73_8,0
73_9,0
73_10,0
73_11,0
73_12,1
74_1,1
74_2,0
74_3,1
74_4,0
74_5,1
74_6,1
74_7,1
74_8,1
74_9,1
74_10,1
74_11,1
74_12,0
75_1,0
75_2,1
75_3,1
75_4,1
75_5,1
75_6,1
75_7,0
75_8,1
75_9,0
75_10,0
75_11,0
75_12,0
76_1,1
76_2,0
76_3,1
76_4,1
76_5,0
76_6,1
76_7,0
76_8,0
76_9,0
76_10,0
76_11,0
76_12,0
77_1,0
77_2,0
77_3,1
77_4,1
77_5,1
77_6,0
77_7,1
77_8,0
77_9,0
77_10,0
77_11,0
77_12,0
78_1,1
78_2,1
78_3,1
78_4,1
78_5,1
78_6,1
78_7,0
78_8,0
78_9,0
78_10,0
78_11,0
78_12,0
79_1,1
79_2,0
79_3,1
79_4,0
79_5,1
79_6,1
79_7,0
79_8,0
79_9,0
79_10,0
79_11,0
79_12,0
80_1,1
80_2,1
80_3,1
80_4,1
80_5,1
80_6,1
80_7,1
80_8,0
80_9,1
80_10,0
80_11,0
80_12,0
81_1,1
81_2,1
81_3,0
81_4,0
81_5,0
81_6,1
81_7,0
81_8,0
81_9,0
81_10,0
81_11,1
81_12,0
82_1,1
82_2,1
82_3,0
82_4,1
82_5,1
82_6,1
82_7,0
82_8,1
82_9,1
82_10,1
82_11,0
82_12,0
83_1,1
83_2,0
83_3,1
83_4,1
83_5,1
83_6,0
83_7,0
83_8,0
83_9,0
83_10,0
83_11,0
83_12,0
84_1,0
84_2,1
84_3,0
84_4,1
84_5,1
84_6,0
84_7,0
84_8,0
84_9,0
84_10,0
84_11,1
84_12,0
85_1,1
85_2,1
85_3,1
85_4,1
85_5,1
85_6,1
85_7,1
85_8,1
85_9,1
85_10,0
85_11,0
85_12,0
86_1,0
86_2,1
86_3,1
86_4,1
86_5,0
86_6,1
86_7,0
86_8,0
86_9,0
86_10,0
86_11,0
86_12,0
87_1,1
87_2,1
87_3,0
87_4,0
87_5,1
87_6,0
87_7,0
87_8,0
87_9,0
87_10,0
87_11,0
87_12,1
88_1,1
88_2,1
88_3,0
88_4,0
88_5,0
88_6,0
88_7,0
88_8,0
88_9,0
88_10,0
88_11,0
88_12,0
89_1,1
89_2,1
89_3,1
89_4,1
89_5,1
89_6,1
89_7,0
89_8,1
89_9,0
89_10,0
89_11,0
89_12,0
90_1,0
90_2,1
90_3,0
90_4,1
90_5,0
90_6,0
90_7,0
90_8,0
90_9,0
90_10,0
90_11,0
90_12,0
91_1,1
91_2,1
91_3,1
91_4,1
91_5,1
91_6,1
91_7,0
91_8,1
91_9,1
91_10,0
91_11,0
91_12,0
92_1,1
92_2,1
92_3,1
92_4,1
92_5,1
92_6,1
92_7,0
92_8,0
92_9,0
92_10,0
92_11,0
92_12,0
93_1,1
93_2,1
93_3,1
93_4,1
93_5,1
93_6,1
93_7,0
93_8,1
93_9,0
93_10,0
93_11,0
93_12,0
94_1,1
94_2,1
94_3,1
94_4,1
94_5,1
94_6,1
94_7,0
94_8,1
94_9,0
94_10,0
94_11,0
94_12,0
95_1,1
95_2,0
95_3,0
95_4,1
95_5,0
95_6,0
95_7,0
95_8,0
95_9,0
95_10,0
95_11,0
95_12,0
96_1,1
96_2,1
96_3,1
96_4,1
96_5,1
96_6,1
96_7,0
96_8,0
96_9,0
96_10,1
96_11,0
96_12,0
97_1,1
97_2,1
97_3,1
97_4,1
97_5,1
97_6,1
97_7,0
97_8,1
97_9,0
97_10,1
97_11,0
97_12,1
98_1,1
98_2,0
98_3,0
98_4,0
98_5,0
98_6,0
98_7,0
98_8,0
98_9,0
98_10,0
98_11,0
98_12,0
99_1,1
99_2,0
99_3,0
99_4,0
99_5,0
99_6,0
99_7,0
99_8,0
99_9,1
99_10,0
99_11,0
99_12,0
100_1,0
100_2,1
100_3,1
100_4,0
100_5,0
100_6,0
100_7,1
100_8,0
100_9,0
100_10,0
100_11,1
100_12,0
101_1,1
101_2,1
101_3,1
101_4,1
101_5,1
101_6,1
101_7,0
101_8,0
101_9,0
101_10,1
101_11,0
101_12,1
102_1,1
102_2,1
102_3,1
102_4,1
102_5,1
102_6,1
102_7,0
102_8,0
102_9,0
102_10,1
102_11,0
102_12,1
103_1,0
103_2,0
103_3,0
103_4,1
103_5,1
103_6,0
103_7,1
103_8,0
103_9,0
103_10,0
103_11,1
103_12,0
