Id,bb_tl_x,bb_tl_y,bb_lr_x,bb_lr_y
0_1,250,177,348,301
0_2,99,179,224,337
0_3,475,0,631,100
0_4,203,0,298,153
0_5,1,0,157,136
0_6,208,184,309,306
0_7,108,228,166,294
0_8,491,0,542,190
1_1,196,45,286,207
1_2,331,8,436,210
1_3,237,317,352,399
1_4,419,328,579,398
1_5,92,87,235,164
1_6,296,96,380,161
1_7,164,301,302,399
1_8,432,268,487,399
2_1,541,154,639,203
2_2,274,138,390,362
2_3,574,141,635,221
2_4,246,178,335,310
3_1,50,35,158,206
3_2,419,51,557,197
3_3,525,31,638,222
3_4,132,366,286,399
3_5,444,315,625,399
3_6,0,94,123,161
3_7,400,110,476,161
3_8,485,66,610,197
4_1,157,163,275,285
4_2,135,121,217,344
5_1,475,184,590,307
5_2,87,181,201,312
5_3,13,172,162,334
5_4,341,0,484,101
5_5,7,0,174,153
5_6,419,185,521,298
5_7,84,194,157,304
5_8,39,217,178,268
6_1,355,184,430,312
6_2,207,177,280,336
6_3,537,0,639,103
6_4,289,0,385,158
6_5,75,0,232,131
6_6,322,190,398,303
6_7,152,193,252,319
6_8,445,7,626,62
7_1,37,324,147,399
7_2,206,360,283,399
7_3,5,351,133,399
7_4,121,280,249,397
8_1,146,328,221,398
8_2,294,362,365,399
8_3,91,297,184,398
8_4,160,360,328,396
9_1,510,185,572,320
9_2,355,182,453,351
9_3,391,3,554,151
9_4,242,0,365,142
9_5,422,187,551,318
9_6,292,154,406,360
9_7,408,0,461,131
9_8,172,0,304,69
10_1,344,186,425,317
10_2,201,179,281,350
10_3,525,5,639,102
10_4,292,0,386,154
10_5,73,0,221,133
10_6,280,187,397,314
10_7,127,241,251,285
10_8,548,0,621,118
11_1,153,350,282,392
11_2,511,330,639,399
11_3,128,319,227,399
11_4,492,268,585,399
12_1,489,174,597,293
12_2,449,176,538,312
12_3,332,0,450,176
12_4,477,176,538,296
12_5,355,234,493,281
12_6,344,0,402,229
13_1,153,49,226,208
13_2,191,34,258,195
13_3,0,330,189,399
13_4,235,314,394,394
13_5,75,66,173,190
13_6,118,12,220,240
13_7,2,320,67,399
13_8,161,338,299,399
14_1,225,232,383,397
14_2,547,352,638,398
14_3,124,276,302,379
14_4,525,320,639,399
15_1,441,181,531,242
15_2,4,166,116,293
15_3,364,0,510,199
15_4,139,0,292,123
15_5,313,175,494,249
15_6,5,158,75,293
15_7,276,53,435,121
16_1,341,147,469,303
16_2,55,147,193,193
16_3,275,196,398,270
16_4,37,65,123,287
17_1,352,178,440,239
17_2,302,0,416,193
17_3,82,0,217,127
17_4,306,145,405,272
17_5,181,53,350,125
17_6,21,9,153,58
18_1,247,163,422,244
18_2,5,160,99,277
18_3,174,170,333,239
18_4,5,189,79,254
19_1,1,339,119,399
19_2,143,337,363,398
19_3,5,353,113,397
19_4,63,344,247,399
20_1,251,173,328,290
20_2,215,168,294,298
20_3,361,0,523,125
20_4,67,1,274,184
20_5,184,173,293,305
20_6,51,223,247,261
20_7,338,3,432,183
20_8,117,19,192,71
21_1,273,176,356,232
21_2,223,5,342,205
21_3,0,0,180,130
21_4,229,146,320,267
21_5,160,18,277,151
21_6,0,4,138,57
22_1,483,161,639,253
22_2,252,151,372,302
22_3,0,149,127,195
22_4,504,138,560,276
22_5,146,189,323,275
22_6,4,137,74,205
23_1,167,347,295,399
23_2,306,338,562,399
23_3,77,342,235,399
23_4,338,325,416,393
24_1,117,92,219,175
24_2,167,37,267,196
24_3,4,241,113,394
24_4,277,340,430,398
24_5,43,84,147,233
24_6,127,50,214,185
24_7,0,276,121,349
25_1,50,1,237,111
25_2,55,90,237,210
25_3,456,126,523,205
25_4,495,27,639,194
25_5,166,269,287,399
25_6,279,243,406,399
25_7,22,1,134,117
25_8,51,44,147,276
26_1,0,5,186,109
26_2,0,85,209,218
26_3,358,124,426,201
26_4,417,28,547,193
26_5,58,269,194,397
26_6,210,238,308,398
26_7,481,343,639,399
26_8,0,0,108,129
27_1,278,0,452,114
27_2,326,101,476,221
27_3,446,275,517,393
27_4,480,234,639,397
27_5,287,0,381,66
27_6,289,105,392,232
27_7,426,229,486,398
28_1,382,228,546,399
28_2,376,276,475,395
29_1,465,160,639,242
29_2,230,155,429,241
29_3,478,93,578,324
29_4,263,148,333,266
30_1,26,103,109,200
30_2,56,32,189,194
30_3,185,336,327,398
30_4,0,139,143,193
30_5,31,45,123,189
30_6,140,304,256,399
31_1,200,0,372,127
31_2,227,104,374,218
31_3,330,277,439,397
31_4,421,240,577,399
31_5,141,0,285,72
31_6,212,102,305,221
31_7,321,279,396,385
32_1,299,228,460,399
32_2,522,311,631,399
32_3,280,270,388,398
32_4,443,346,582,392
33_1,534,183,638,251
33_2,279,180,376,237
33_3,190,175,299,318
33_4,502,0,630,156
33_5,409,0,490,215
33_6,35,0,226,140
33_7,546,160,639,274
33_8,213,187,322,233
34_1,521,183,630,236
34_2,442,176,577,316
34_3,299,0,441,127
34_4,427,165,556,271
34_5,361,220,501,276
34_6,231,0,371,155
35_1,198,118,287,204
35_2,3,265,145,389
35_3,88,315,274,399
35_4,148,95,246,219
35_5,0,243,105,399
35_6,44,328,187,391
36_1,272,0,385,116
36_2,0,105,127,209
36_3,169,99,327,200
36_4,534,122,639,211
36_5,31,343,191,398
36_6,307,274,462,399
36_7,431,319,639,399
36_8,168,0,315,46
36_9,3,74,102,238
37_1,192,124,291,202
37_2,0,275,146,398
37_3,74,317,289,398
37_4,66,133,246,191
37_5,1,268,108,392
37_6,52,324,203,377
38_1,211,227,393,399
38_2,166,311,307,365
39_1,405,0,533,118
39_2,116,106,238,210
39_3,338,105,516,200
39_4,223,348,346,399
39_5,469,273,631,398
39_6,319,0,466,76
39_7,115,100,183,218
39_8,321,48,403,269
39_9,187,312,286,399
